date,target
2020-01-23 10:02:03,0
2020-01-24 10:02:03,0
2020-01-25 10:02:03,0
2020-01-26 10:02:03,0
2020-01-27 10:02:03,0
2020-01-28 10:02:03,0
2020-01-29 10:02:03,0
2020-01-30 10:02:03,0
2020-01-31 10:02:03,0
2020-02-01 10:02:03,0
2020-02-02 10:02:03,0
2020-02-03 10:02:03,0
2020-02-04 10:02:03,0
2020-02-05 10:02:03,0
2020-02-06 10:02:03,0
2020-02-07 10:02:03,0
2020-02-08 10:02:03,0
2020-02-09 10:02:03,0
2020-02-10 10:02:03,0
2020-02-11 10:02:03,0
2020-02-12 10:02:03,0
2020-02-13 10:02:03,0
2020-02-14 10:02:03,0
2020-02-15 10:02:03,0
2020-02-16 10:02:03,0
2020-02-17 10:02:03,0
2020-02-18 10:02:03,0
2020-02-19 10:02:03,0
2020-02-20 10:02:03,0
2020-02-21 10:02:03,0
2020-02-22 10:02:03,0
2020-02-23 10:02:03,0
2020-02-24 10:02:03,0
2020-02-25 10:02:03,1
2020-02-26 10:02:03,0
2020-02-27 10:02:03,0
2020-02-28 10:02:03,0
2020-02-29 10:02:03,0
2020-03-01 10:02:03,0
2020-03-02 10:02:03,2
2020-03-03 10:02:03,2
2020-03-04 10:02:03,7
2020-03-05 10:02:03,0
2020-03-06 10:02:03,5
2020-03-07 10:02:03,0
2020-03-08 10:02:03,2
2020-03-09 10:02:03,1
2020-03-10 10:02:03,0
2020-03-11 10:02:03,0
2020-03-12 10:02:03,4
2020-03-13 10:02:03,2
2020-03-14 10:02:03,11
2020-03-15 10:02:03,11
2020-03-16 10:02:03,6
2020-03-17 10:02:03,6
2020-03-18 10:02:03,14
2020-03-19 10:02:03,13
2020-03-20 10:02:03,3
2020-03-21 10:02:03,49
2020-03-22 10:02:03,62
2020-03-23 10:02:03,29
2020-03-24 10:02:03,34
2020-03-25 10:02:03,38
2020-03-26 10:02:03,65
2020-03-27 10:02:03,42
2020-03-28 10:02:03,45
2020-03-29 10:02:03,57
2020-03-30 10:02:03,73
2020-03-31 10:02:03,132
2020-04-01 10:02:03,131
2020-04-02 10:02:03,139
2020-04-03 10:02:03,185
2020-04-04 10:02:03,80
2020-04-05 10:02:03,69
2020-04-06 10:02:03,103
2020-04-07 10:02:03,45
2020-04-08 10:02:03,104
2020-04-09 10:02:03,94
2020-04-10 10:02:03,95
2020-04-11 10:02:03,64
2020-04-12 10:02:03,89
2020-04-13 10:02:03,69
2020-04-14 10:02:03,87
2020-04-15 10:02:03,90
2020-04-16 10:02:03,108
2020-04-17 10:02:03,150
2020-04-18 10:02:03,116
2020-04-19 10:02:03,95
2020-04-20 10:02:03,89
2020-04-21 10:02:03,93
2020-04-22 10:02:03,99
2020-04-23 10:02:03,97
2020-04-24 10:02:03,120
2020-04-25 10:02:03,129
