date,h,l,n
2012-01-08 10:02:03,0.0,0.0,162.0
2012-01-22 10:02:03,6.0,2.0,337.0
2012-01-29 10:02:03,14.0,2.0,1209.0
2012-02-05 10:02:03,22.0,3.0,949.0
2012-02-12 10:02:03,18.0,7.0,995.0
2012-02-19 10:02:03,30.0,9.0,1070.0
2012-02-26 10:02:03,26.0,19.0,927.0
2012-03-04 10:02:03,42.0,31.0,1471.0
2012-03-11 10:02:03,52.0,32.0,1105.0
2012-03-18 10:02:03,47.0,63.0,1829.0
2012-03-25 10:02:03,19.0,38.0,922.0
2012-04-01 10:02:03,21.0,43.0,930.0
2012-04-08 10:02:03,35.0,119.0,1814.0
2012-04-15 10:02:03,17.0,27.0,1052.0
2012-04-22 10:02:03,38.0,129.0,1678.0
2012-04-29 10:02:03,35.0,120.0,1562.0
2012-05-06 10:02:03,24.0,64.0,1143.0
2012-05-13 10:02:03,63.0,138.0,1860.0
2012-05-20 10:02:03,44.0,123.0,1456.0
2012-05-27 10:02:03,46.0,114.0,1688.0
2012-06-03 10:02:03,44.0,126.0,1522.0
2012-06-10 10:02:03,65.0,236.0,1660.0
2012-06-17 10:02:03,55.0,195.0,1416.0
2012-06-24 10:02:03,44.0,146.0,1317.0
2012-07-01 10:02:03,184.0,320.0,2332.0
2012-07-08 10:02:03,48.0,223.0,1472.0
2012-07-15 10:02:03,200.0,369.0,2084.0
2012-07-22 10:02:03,186.0,405.0,2557.0
2012-07-29 10:02:03,144.0,278.0,2278.0
2012-08-05 10:02:03,485.0,551.0,3599.0
2012-08-12 10:02:03,759.0,875.0,6237.0
2012-08-19 10:02:03,976.0,882.0,7365.0
2012-08-26 10:02:03,527.0,672.0,4847.0
2012-09-02 10:02:03,218.0,247.0,2676.0
2012-09-09 10:02:03,57.0,163.0,1780.0
2012-09-16 10:02:03,40.0,272.0,1927.0
2012-09-23 10:02:03,247.0,422.0,3261.0
2012-09-30 10:02:03,50.0,206.0,1798.0
2012-10-07 10:02:03,80.0,184.0,1961.0
2012-10-14 10:02:03,76.0,151.0,1842.0
2012-10-21 10:02:03,22.0,74.0,1284.0
2012-10-28 10:02:03,40.0,73.0,1598.0
2012-11-04 10:02:03,6.0,27.0,1245.0
2012-11-11 10:02:03,51.0,55.0,1784.0
2012-11-18 10:02:03,33.0,12.0,1213.0
2012-11-25 10:02:03,53.0,21.0,1353.0
2012-12-02 10:02:03,40.0,9.0,1262.0
2012-12-09 10:02:03,23.0,6.0,956.0
2012-12-16 10:02:03,15.0,2.0,1107.0
2012-12-23 10:02:03,58.0,16.0,1715.0
2012-12-30 10:02:03,66.0,19.0,1519.0
2013-01-13 10:02:03,33.0,3.0,1135.0
2013-01-20 10:02:03,76.0,27.0,1693.0
2013-01-27 10:02:03,46.0,19.0,1394.0
2013-02-03 10:02:03,22.0,3.0,1127.0
2013-02-10 10:02:03,36.0,25.0,1593.0
2013-02-17 10:02:03,56.0,14.0,1505.0
2013-02-24 10:02:03,32.0,19.0,1394.0
2013-03-03 10:02:03,11.0,34.0,1214.0
2013-03-10 10:02:03,43.0,66.0,1581.0
2013-03-17 10:02:03,26.0,86.0,1566.0
2013-03-24 10:02:03,20.0,37.0,1284.0
2013-03-31 10:02:03,63.0,146.0,1941.0
2013-04-07 10:02:03,38.0,74.0,1835.0
2013-04-14 10:02:03,39.0,97.0,1701.0
2013-04-21 10:02:03,33.0,95.0,1368.0
2013-04-28 10:02:03,26.0,117.0,1387.0
