"alert__week","alert__year","alert__count","confidence__cat"
12,2024,144,"l"
12,2024,1638,"n"
12,2024,14,"h"
11,2024,147,"l"
11,2024,19,"h"
11,2024,2212,"n"
10,2024,4,"h"
10,2024,1479,"n"
10,2024,79,"l"
9,2024,1498,"n"
9,2024,29,"l"
9,2024,8,"h"
8,2024,16,"l"
8,2024,4,"h"
8,2024,1483,"n"
7,2024,11,"h"
7,2024,1332,"n"
7,2024,13,"l"
6,2024,8,"h"
6,2024,1508,"n"
6,2024,12,"l"
5,2024,13,"h"
5,2024,2,"l"
5,2024,1516,"n"
4,2024,9,"l"
4,2024,28,"h"
4,2024,1725,"n"
3,2024,1165,"n"
3,2024,1,"l"
3,2024,2,"h"
2,2024,12,"h"
2,2024,3,"l"
2,2024,1185,"n"
1,2024,15,"h"
1,2024,2,"l"
1,2024,1247,"n"
52,2023,1333,"n"
52,2023,8,"h"
52,2023,1,"l"
51,2023,1222,"n"
51,2023,23,"h"
51,2023,2,"l"
50,2023,1609,"n"
50,2023,5,"l"
50,2023,13,"h"
49,2023,1196,"n"
49,2023,4,"l"
49,2023,11,"h"
48,2023,13,"l"
48,2023,1430,"n"
48,2023,7,"h"
47,2023,11,"l"
47,2023,30,"h"
47,2023,1863,"n"
46,2023,37,"l"
46,2023,2234,"n"
46,2023,22,"h"
45,2023,46,"l"
45,2023,11,"h"
45,2023,1729,"n"
44,2023,16,"h"
44,2023,1660,"n"
44,2023,51,"l"
43,2023,117,"l"
43,2023,13,"h"
43,2023,1570,"n"
42,2023,2222,"n"
42,2023,50,"h"
42,2023,149,"l"
41,2023,45,"h"
41,2023,2025,"n"
41,2023,115,"l"
40,2023,2063,"n"
40,2023,20,"h"
40,2023,151,"l"
39,2023,1791,"n"
39,2023,228,"l"
39,2023,11,"h"
38,2023,1746,"n"
38,2023,17,"h"
38,2023,171,"l"
37,2023,154,"l"
37,2023,55,"h"
37,2023,1936,"n"
36,2023,8,"h"
36,2023,132,"l"
36,2023,1685,"n"
35,2023,60,"l"
35,2023,1548,"n"
35,2023,21,"h"
34,2023,92,"h"
34,2023,2190,"n"
34,2023,159,"l"
33,2023,1788,"n"
33,2023,185,"l"
33,2023,44,"h"
32,2023,1748,"n"
32,2023,258,"l"
32,2023,24,"h"
31,2023,36,"h"
31,2023,217,"l"
31,2023,1840,"n"
30,2023,325,"h"
30,2023,379,"l"
30,2023,1823,"n"
29,2023,318,"l"
29,2023,55,"h"
29,2023,1692,"n"
28,2023,296,"l"
28,2023,1646,"n"
28,2023,65,"h"
27,2023,25,"h"
27,2023,187,"l"
27,2023,1532,"n"
26,2023,319,"l"
26,2023,48,"h"
26,2023,1715,"n"
25,2023,239,"l"
25,2023,1784,"n"
25,2023,36,"h"
24,2023,1508,"n"
24,2023,28,"h"
24,2023,158,"l"
23,2023,1385,"n"
23,2023,6,"h"
23,2023,93,"l"
22,2023,15,"h"
22,2023,1524,"n"
22,2023,105,"l"
21,2023,99,"l"
21,2023,1598,"n"
21,2023,17,"h"
20,2023,1386,"n"
20,2023,5,"h"
20,2023,52,"l"
19,2023,58,"l"
19,2023,17,"h"
19,2023,1443,"n"
18,2023,1422,"n"
18,2023,139,"l"
18,2023,21,"h"
17,2023,57,"h"
17,2023,190,"l"
17,2023,1933,"n"
16,2023,1768,"n"
16,2023,144,"l"
16,2023,14,"h"
15,2023,2222,"n"
15,2023,48,"h"
15,2023,208,"l"
14,2023,7,"h"
14,2023,1572,"n"
14,2023,63,"l"
13,2023,2110,"n"
13,2023,21,"h"
13,2023,200,"l"
12,2023,183,"l"
12,2023,25,"h"
12,2023,1831,"n"
11,2023,157,"l"
11,2023,5,"h"
11,2023,1975,"n"
10,2023,15,"h"
10,2023,1930,"n"
10,2023,120,"l"
9,2023,1463,"n"
9,2023,22,"h"
9,2023,37,"l"
8,2023,44,"l"
8,2023,1586,"n"
8,2023,21,"h"
7,2023,10,"h"
7,2023,9,"l"
7,2023,1406,"n"
6,2023,1131,"n"
6,2023,7,"h"
6,2023,1,"l"
5,2023,30,"h"
5,2023,1424,"n"
5,2023,19,"l"
4,2023,1163,"n"
4,2023,8,"h"
4,2023,3,"l"
3,2023,9,"l"
3,2023,1554,"n"
3,2023,18,"h"
2,2023,33,"h"
2,2023,1689,"n"
2,2023,4,"l"
1,2023,28,"h"
1,2023,1,"l"
1,2023,1499,"n"
52,2022,40,"h"
52,2022,15,"l"
52,2022,2104,"n"
51,2022,5,"l"
51,2022,43,"h"
51,2022,1821,"n"
50,2022,21,"h"
50,2022,1552,"n"
50,2022,26,"l"
49,2022,6,"h"
49,2022,1356,"n"
49,2022,7,"l"
48,2022,15,"l"
48,2022,1545,"n"
48,2022,41,"h"
47,2022,8,"l"
47,2022,10,"h"
47,2022,1619,"n"
46,2022,19,"l"
46,2022,8,"h"
46,2022,1602,"n"
45,2022,2098,"n"
45,2022,44,"h"
45,2022,22,"l"
44,2022,2321,"n"
44,2022,41,"h"
44,2022,61,"l"
43,2022,2651,"n"
43,2022,177,"l"
43,2022,58,"h"
42,2022,2754,"n"
42,2022,138,"l"
42,2022,83,"h"
41,2022,1754,"n"
41,2022,106,"l"
41,2022,35,"h"
40,2022,1673,"n"
